628	13137	811.21094	388.8125, 0.0	0.0	0
629	13153	811.21094	388.8125, 0.0	0.0	0
630	13170	811.21094	388.8125, 0.0	0.0	0
631	13187	811.21094	388.8125, 0.0	0.0	0
632	13204	811.21094	388.8125, 0.0	0.0	0
633	13221	811.21094	388.8125, 0.0	0.0	0
634	13238	811.21094	388.8125, 0.0	0.0	0
635	13254	811.21094	388.8125, 0.0	0.0	0
636	13270	811.21094	388.8125, 0.0	0.0	0
637	13286	811.21094	388.8125, 0.0	0.0	0
638	13304	811.21094	388.8125, 0.0	0.0	0
639	13320	811.21094	388.8125, 0.0	0.0	0
640	13337	811.21094	388.8125, 0.0	0.0	0
641	13354	811.21094	388.8125, 0.0	0.0	0
642	13370	804.98047	368.65625, 0.0	0.0	0
643	13386	801.08984	359.57812, 0.0	0.0	0
644	13409	788.70703	331.71484, 0.0	0.0	0
645	13424	756.39844	271.79688, 0.0	0.0	0
646	13440	744.33203	252.17188, 0.0	0.0	0
647	13455	732.8008	233.17188, 0.0	0.0	0
648	13473	727.9414	225.88281, 0.0	0.0	0
649	13493	720.3594	215.48047, 0.0	0.0	0
650	13510	716.65234	211.3789, 0.0	0.0	0
651	13528	713.8047	209.58594, 0.0	0.0	0
652	13543	708.7422	208.90234, 0.0	0.0	0
653	13559	704.9922	210.08984, 0.0	0.0	0
654	13576	704.9922	210.08984, 0.0	0.0	0
655	13593	704.9922	210.08984, 0.0	0.0	0
656	13610	704.9922	210.08984, 0.0	0.0	0
657	13625	704.9922	210.08984, 0.0	0.0	0
658	13642	704.9922	210.08984, 0.0	0.0	0
659	13658	704.9922	210.08984, 0.0	0.0	0
660	13675	704.9922	210.08984, 0.0	0.0	0
661	13692	704.9922	210.08984, 0.0	0.0	0
662	13708	704.9922	210.08984, 0.0	0.0	0
663	13726	704.9922	210.08984, 0.0	0.0	0
664	13743	704.9922	210.08984, 0.0	0.0	0
665	13759	704.7578	210.08984, 0.0	0.0	0
666	13776	704.0	211.0, 0.0	0.0	1
667	13793	697.0	211.0, 0.0	0.0	1
668	13810	688.0	211.0, 0.0	0.0	1
669	13827	679.0	212.0, 0.0	0.0	1
670	13844	673.0	213.0, 0.0	0.0	1
671	13861	662.0	214.0, 0.0	0.0	1
672	13880	652.0	216.0, 0.0	0.0	1
673	13898	652.0	216.0, 0.0	0.0	1
674	13918	645.0	219.0, 0.0	0.0	1
675	13941	640.0	221.0, 0.0	0.0	1
676	13961	636.0	223.0, 0.0	0.0	1
677	13982	612.0	237.0, 0.0	0.0	1
678	13997	598.0	245.0, 0.0	0.0	1
679	14017	581.0	255.0, 0.0	0.0	1
680	14039	561.0	265.0, 0.0	0.0	1
681	14059	543.0	270.0, 0.0	0.0	1
682	14075	526.0	272.0, 0.0	0.0	1
683	14092	512.0	272.0, 0.0	0.0	1
684	14108	501.0	273.0, 0.0	0.0	1
685	14124	481.0	269.0, 0.0	0.0	1
686	14141	475.0	267.0, 0.0	0.0	1
687	14158	461.0	259.0, 0.0	0.0	1
688	14183	455.0	254.0, 0.0	0.0	1
689	14197	452.0	248.0, 0.0	0.0	1
690	14213	449.0	240.0, 0.0	0.0	1
691	14232	449.0	230.0, 0.0	0.0	1
692	14246	452.0	220.0, 0.0	0.0	1
693	14266	464.0	204.0, 0.0	0.0	1
694	14284	475.0	193.0, 0.0	0.0	1
695	14300	489.0	185.0, 0.0	0.0	1
696	14317	494.0	183.0, 0.0	0.0	1
697	14338	509.0	180.0, 0.0	0.0	1
698	14353	517.0	179.0, 0.0	0.0	1
699	14368	524.0	181.0, 0.0	0.0	1
700	14386	531.0	185.0, 0.0	0.0	1
701	14404	535.0	189.0, 0.0	0.0	1
702	14421	539.0	196.0, 0.0	0.0	1
703	14434	543.0	205.0, 0.0	0.0	1
704	14453	544.0	212.0, 0.0	0.0	1
705	14470	544.0	219.0, 0.0	0.0	1
706	14492	544.0	226.0, 0.0	0.0	1
707	14505	541.0	234.0, 0.0	0.0	1
708	14522	536.0	246.0, 0.0	0.0	1
709	14540	525.0	262.0, 0.0	0.0	1
710	14556	518.0	270.0, 0.0	0.0	1
711	14572	510.0	279.0, 0.0	0.0	1
712	14589	502.0	288.0, 0.0	0.0	1
713	14605	494.0	297.0, 0.0	0.0	1
714	14622	488.0	306.0, 0.0	0.0	1
715	14639	482.0	317.0, 0.0	0.0	1
716	14656	479.0	327.0, 0.0	0.0	1
717	14672	476.0	337.0, 0.0	0.0	1
718	14688	475.0	347.0, 0.0	0.0	1
719	14705	475.0	359.0, 0.0	0.0	1
720	14721	478.0	366.0, 0.0	0.0	1
721	14738	486.0	373.0, 0.0	0.0	1
722	14757	498.0	381.0, 0.0	0.0	1
723	14771	511.0	387.0, 0.0	0.0	1
724	14788	527.0	394.0, 0.0	0.0	1
725	14807	553.0	403.0, 0.0	0.0	1
726	14822	562.0	406.0, 0.0	0.0	1
727	14837	590.0	411.0, 0.0	0.0	1
728	14856	605.0	413.0, 0.0	0.0	1
729	14876	616.0	413.0, 0.0	0.0	1
730	14889	628.0	413.0, 0.0	0.0	1
731	14904	646.0	409.0, 0.0	0.0	1
732	14922	656.0	406.0, 0.0	0.0	1
733	14940	663.0	402.0, 0.0	0.0	1
734	14956	671.0	398.0, 0.0	0.0	1
735	14973	674.0	397.0, 0.0	0.0	1
736	14989	677.0	395.0, 0.0	0.0	1
737	15006	678.0	395.0, 0.0	0.0	1
738	15022	678.0	395.0, 0.0	0.0	1
739	15036	676.0	395.0, 0.0	0.0	1
740	15054	666.0	396.0, 0.0	0.0	1
741	15070	652.0	401.0, 0.0	0.0	1
742	15088	633.0	408.0, 0.0	0.0	1
743	15105	611.0	419.0, 0.0	0.0	1
744	15122	587.0	432.0, 0.0	0.0	1
745	15139	565.0	446.0, 0.0	0.0	1
746	15154	544.0	460.0, 0.0	0.0	1
747	15171	523.0	476.0, 0.0	0.0	1
748	15188	516.0	481.0, 0.0	0.0	1
749	15204	504.0	490.0, 0.0	0.0	1
750	15220	488.0	498.0, 0.0	0.0	1
751	15238	480.0	501.0, 0.0	0.0	1
752	15255	472.0	502.0, 0.0	0.0	1
753	15272	465.0	503.0, 0.0	0.0	1
754	15288	457.0	503.0, 0.0	0.0	1
755	15305	450.0	501.0, 0.0	0.0	1
756	15322	442.0	497.0, 0.0	0.0	1
